proba,grupa,Al,B,Ba,Ca,Cr,Cu,Fe,K,Mg,Mn,Na,Pb,Sr,Ti,Zn
GC001,2,22472.53,31.19,230.11,5231.77,24.61,9.45,36424.49,1229.58,2131.18,972.83,225.04,25.45,31.2,44.73,49.96
GC002,2,18536.4,35.47,220.32,5584.33,20.08,10.09,46057.22,962.21,2198.59,2358.47,195.25,27.05,35.49,21.47,45.26
GC003,2,18968.33,32.49,233.4,5951.89,17.62,8.2,38470.94,747.57,1936.91,1682.81,189.91,25.61,37.71,23.03,46.8
GC004,2,27585.09,47.02,277.73,5298.26,35.09,11.53,57129.5,2095.48,2930.05,2053.5,283.63,29.38,36.12,41.93,60.44
GC005,2,18849.86,25.61,232.07,6884.5,16.23,10.88,31687.92,731.8,2275.56,2048.63,190.76,26.68,36.43,16.89,59.85
GC006,2,16132.82,22.59,214.91,5505.47,17.88,6.78,29981.08,544.26,2018.94,1225.43,192.4,19.53,28.37,22.54,24.6
GC007,2,19053.43,29.75,250.56,5418.11,23.25,9.57,42121.26,609.95,2099.08,1605.21,229.63,20.99,37.43,18.11,27.02
GC008,2,18860.28,28.54,238.35,5078.6,23.76,8.03,34224.03,723.02,2369.91,1082.62,287.37,20.25,36.37,19.91,34.31
GC009,2,16338.24,265.15,232.17,1824.14,25.38,9.83,25383.33,1413.89,1640.41,831.76,179.14,15.56,20.8,66.21,63.54
GC010,2,20796.29,23.28,343.74,2262.49,31.41,12.28,30981.98,1337.31,1548.67,365.61,213.36,19.46,25.64,104.45,63.89
GC011,1,43011.56,39.04,315.53,5133.66,37.57,10.18,40866.53,1037.41,682.74,313.61,261.98,34.42,33.3,38.29,40.81
GC012,2,28277.41,30.46,305.11,7311.21,26.88,10.1,38860.26,756.06,1266.24,959.12,243.4,36.38,38.05,21.84,53.64
GC013,2,30563.63,29.74,304.31,6468.33,35.11,10.36,38884.59,1058.44,1440.79,444.17,316.46,35.83,39.26,26.37,50.62
GC014,2,18585.23,22.11,204.49,6243.72,16.01,11.46,29790.52,683.02,1791.95,1361.3,186.35,27.76,33.33,33.34,54.4
GC015,2,27150.56,32.63,287.13,6504.79,26.95,12.4,44914.56,1030.29,1361.69,1676.09,224.9,37.58,34.3,16.52,40.25
GC016,2,31410.3,31.45,328.23,7219.16,33.6,11.81,40530.07,1031.12,1316.94,955.36,267.55,36.9,39.02,26.3,55.24
GC017,2,26049.42,35.11,226.42,5841.39,23.16,13.21,53096.38,791.89,1032.94,488.67,208.79,39.22,41.04,16.55,39.14
GC018,2,19875.58,23.4,209.68,5925.94,18.63,11.98,31646.83,890.81,2063.39,1215.09,173.25,26.18,33.03,47.92,52.1
GC019,2,21075.27,24.1,211.73,6126.04,20.81,11.68,33125.37,963.7,2475.7,1293.68,176.57,26.15,33.54,42.48,59.04
GC020,3,34427.81,23.65,157.72,4598.68,8.84,13.49,24271.67,410.73,1045.41,179.85,174,23.82,26.73,155.66,24.35
GC021,3,23532.62,16.01,180.89,4145.18,3.26,7.15,15311.83,277.05,762.27,89.43,191.02,22.33,26.62,143.64,13.16
GC022,3,22214.86,17.65,181.91,4334.62,6.5,5.11,11592.95,430.22,745.6,88.38,213.82,19.69,25.77,107.71,17.17
GC023,3,14155.06,18.04,119.96,3593.49,3.38,5.86,8923.12,272.15,837.23,66.93,207.92,13.11,19.5,123.02,15.57
GC024,1,42201.02,40.48,99.13,2258.45,31.7,23.45,44771.66,1120.19,441.77,284.62,144.88,31.46,12.64,65.05,42.34
GC025,2,17812.74,19.49,364.52,2656.72,26.24,13.4,24305.01,1450.88,1554.52,421.36,253.87,18.32,34.24,73.23,67.11
GC026,2,16846.6,19.84,390.98,2615.94,25.17,15.73,24988.86,1762.61,1863.99,670.93,292.68,17.52,33.74,68.09,86.15
GC027,2,19117.41,19.29,309.19,2492.43,27.61,15.46,24817.57,1477.53,1480.95,403.94,258.62,21.58,30.64,82.44,69.06
GC028,2,19076,23.59,367.81,2545.09,33.4,14.43,30698.46,2148.97,2214.91,647.64,293.2,18.58,31.1,104.42,97.4
GC029,2,31896.95,36.25,354.15,7200.12,38.77,13.63,42493.79,1966.98,2972.39,874.84,436.56,29.38,41.93,97.94,74.35
GC030,2,25085.07,36.89,239.23,5504.14,31.63,11.99,44252.52,1529.26,2779.94,1508.75,268.86,29.34,38.69,40.5,59.24
